id,name,preferred_foot,position,team
5139,Roman Weidenfeller,Left,Goalkeeper,Germany
5155,Miroslav Klose,Right,Forward,Germany
15207,Philipp Lahm,Right,Defender,Germany
15208,Bastian Schweinsteiger,Right,Midfielder,Germany
17127,Per Mertesacker,Right,Defender,Germany
17733,Lukas Podolski,Left,Forward,Germany
20388,Manuel Neuer,Right,Goalkeeper,Germany
37605,Mesut í_zil,Left,Midfielder,Germany
38392,Mats Hummels,Right,Defender,Germany
39816,Sami Khedira,Right,Midfielder,Germany
40691,Jerome Boateng,Right,Defender,Germany
41316,Benedikt Hí_wedes,Right,Defender,Germany
44989,Toni Kroos,Both,Midfielder,Germany
51934,Ron-Robert Zieler,Right,Goalkeeper,Germany
52540,Kevin Groíôkreutz,Right,Defender,Germany
55634,Thomas Mí_ller,Right,Forward,Germany
66842,Andrí© Schí_rrle,Right,Midfielder,Germany
69140,Shkodran Mustafi,Right,Defender,Germany
69600,Mario Gí_tze,Right,Midfielder,Germany
92985,Julian Draxler,Right,Midfielder,Germany
100927,Christoph Kramer,Both,Midfielder,Germany
111251,Matthias Ginter,Right,Defender,Germany
118884,Erik Durm,Right,Defender,Germany
13308,Maxi Rodrí_guez,Both,Midfielder,Argentina
14880,Hugo Campagnaro,Right,Defender,Argentina
15312,Martí_n Demichelis,Right,Defender,Argentina
19054,Lionel Messi,Left,Forward,Argentina
19975,Fernando Gago,Right,Midfielder,Argentina
20153,Rodrigo Palacio,Right,Forward,Argentina
20658,Pablo Zabaleta,Unknown,Defender,Argentina
21150,Mariano Andujar,Right,Goalkeeper,Argentina
28525,Ezequiel Garay,Right,Defender,Argentina
32644,Javier Mascherano,Right,Midfielder,Argentina
37572,Sergio Agí_ero,Both,Forward,Argentina
39462,Lucas Biglia,Right,Midfielder,Argentina
40232,Gonzalo Higuaí_n,Right,Forward,Argentina
42899,Sergio Romero,Right,Goalkeeper,Argentina
42948,Agustí_n Orií_n,Right,Goalkeeper,Argentina
45154,Ezequiel Lavezzi,Right,Forward,Argentina
46497,íngel Di Marí_a,Left,Midfielder,Argentina
53943,Josí© Basanta,Unknown,Defender,Argentina
54806,Augusto Ferníçndez,Right,Midfielder,Argentina
55661,Enzo Pí©rez,Right,Midfielder,Argentina
57145,Federico Ferníçndez,Right,Defender,Argentina
58893,Marcos Rojo,Left,Defender,Argentina
86444,Ricardo ílvarez,Left,Midfielder,Argentina
