e,0001,08:00 am,09:00 am,0030,0.5198
e,0002,11:30 am,02:00 pm,0102,0.6451
e,0003,10:00 am,12:00 pm,0060,0.9081,Chemistry
e,0006,05:00 pm,06:00 pm,0012,0.1093
e,0008,09:00 am,01:00 pm,0120,0.8942
e,0009,08:00 am,02:00 pm,0150,0.1923
c,0010,08:00 am,10:00 am,0054,0.7560,Physics
e,0011,11:00 am,01:30 pm,0060,0.0235
e,0012,11:00 am,03:30 pm,0072,0.5923
c,0013,10:30 am,06:00 pm,0150,1.0000,MATLAB
e,0014,04:30 pm,06:00 pm,0036,0.4124
e,0015,04:00 pm,05:30 pm,0024,0.0333
e,0016,10:30 am,12:30 pm,0036,0.7263
e,0018,01:00 pm,02:30 pm,0066,0.2834
c,0019,02:00 pm,04:30 pm,0064,0.8345,Biology
e,0020,01:00 pm,05:00 pm,0030,0.0984
c,0021,03:00 pm,05:30 pm,0060,0.7893,Math
e,0022,03:00 pm,04:30 pm,0030,0.9831
e,0023,12:00 pm,02:00 pm,0012,0.4101
e,0024,10:00 am,12:00 pm,0072,0.5218
